issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
955,Improvement,Closed,Fixed,C-1,Major,Person 60,2008/10/02 02:53:51 +0100,2008/10/02 02:54:22 +0100,Person 60,2008/10/02 16:25:58 +0100
957,Bug,Closed,Fixed,C-5,Major,Person 82,2008/10/02 13:39:06 +0100,2008/10/02 13:39:06 +0100,Person 82,2008/10/02 13:58:03 +0100
958,Bug,Closed,Fixed,documentation,Major,Person 99,2008/10/02 15:31:50 +0100,2008/10/02 18:06:02 +0100,Person 71,2008/10/05 15:45:12 +0100
959,Improvement,Closed,Fixed,C-6,Major,Person 62,2008/10/02 17:25:04 +0100,2008/12/04 09:43:30 +0100,Person 62,2008/12/09 12:29:26 +0100
964,Improvement,Closed,Fixed,C-1,Major,Person 100,2008/10/07 13:27:55 +0100,2008/10/09 11:43:17 +0100,Person 71,2008/10/09 12:44:16 +0100
969,Bug,Closed,Fixed,C-1,Major,Person 101,2008/10/08 15:16:39 +0100,2008/10/08 20:16:01 +0100,Person 71,2008/10/08 20:16:01 +0100
970,Bug,Closed,Fixed,C-5,Major,Person 60,2008/10/08 18:40:06 +0100,2008/10/08 18:40:06 +0100,Person 60,2008/10/08 19:23:21 +0100
973,Bug,Closed,Fixed,C-jbi,Major,Person 102,2008/10/10 20:29:45 +0100,2008/10/14 20:38:52 +0100,Person 65,2009/02/10 16:40:05 +0100
978,Improvement,Closed,Fixed,C-7,Minor,Person 71,2008/10/12 08:15:41 +0100,2008/10/12 08:15:41 +0100,Person 71,2008/10/12 10:47:18 +0100
979,Improvement,Closed,Fixed,C-1,Major,Person 71,2008/10/12 11:57:27 +0100,2008/10/12 12:10:34 +0100,Person 71,2008/10/12 12:10:44 +0100
983,Bug,Closed,Fixed,C-1,Major,Person 71,2008/10/13 20:05:35 +0100,2008/10/14 15:20:34 +0100,Person 71,2008/10/15 19:54:29 +0100
985,Improvement,Closed,Fixed,C-1; C-5,Minor,Person 71,2008/10/14 13:13:35 +0100,2008/11/21 14:32:29 +0100,Person 82,2008/11/21 14:57:00 +0100
991,Improvement,Closed,Fixed,tooling,Major,Person 103,2008/10/16 13:56:23 +0100,2008/10/16 13:59:56 +0100,Person 82,2008/10/16 14:19:56 +0100
992,Bug,Closed,Fixed,,Major,Person 90,2008/10/16 15:48:06 +0100,2008/10/16 17:44:23 +0100,Person 71,2008/10/16 17:44:23 +0100
997,Improvement,Closed,Fixed,C-10,Major,Person 71,2008/10/19 11:23:38 +0100,2008/10/19 11:23:38 +0100,Person 71,2008/10/19 14:24:02 +0100
1002,Improvement,Closed,Fixed,C-22,Major,Person 100,2008/10/20 17:13:24 +0100,2009/01/27 09:27:58 +0100,Person 60,2009/01/28 00:45:08 +0100
1018,Improvement,Closed,Fixed,C-10,Major,Person 104,2008/10/22 07:40:51 +0100,2008/11/07 15:04:36 +0100,Person 58,2008/11/07 16:52:33 +0100
1023,Bug,Closed,Fixed,tooling,Major,Person 71,2008/10/24 06:51:53 +0100,2008/10/24 06:51:53 +0100,Person 71,2008/10/27 13:36:30 +0100
1036,Improvement,Closed,Fixed,C-1; C-5,Major,Person 82,2008/10/30 15:03:20 +0100,2008/10/30 15:03:20 +0100,Person 82,2008/10/30 18:03:39 +0100
1039,Improvement,Closed,Fixed,C-1,Major,Person 82,2008/10/31 18:49:04 +0100,2008/10/31 18:49:04 +0100,Person 82,2008/10/31 19:34:09 +0100
1044,Improvement,Closed,Fixed,C-ftp,Major,Person 105,2008/11/02 01:18:29 +0100,2008/11/02 08:59:36 +0100,Person 71,2008/11/02 10:27:52 +0100
1053,Bug,Closed,Fixed,C-5-integration,Major,Person 82,2008/11/05 01:21:13 +0100,2008/11/05 13:48:40 +0100,Person 58,2008/11/05 13:48:40 +0100
1057,Bug,Closed,Fixed,C-23,Critical,Person 104,2008/11/07 01:56:37 +0100,2008/11/07 14:09:07 +0100,Person 71,2008/11/07 14:23:32 +0100
1062,Bug,Closed,Fixed,C-1,Minor,Person 60,2008/11/07 16:26:21 +0100,2008/11/07 16:26:21 +0100,Person 60,2008/11/07 22:27:04 +0100
1070,Bug,Closed,Fixed,C-1,Major,Person 71,2008/11/10 17:38:32 +0100,2008/11/10 17:53:06 +0100,Person 71,2008/11/10 17:55:17 +0100
1074,Bug,Closed,Fixed,C-jaxb,Major,Person 106,2008/11/11 01:21:20 +0100,2008/11/13 07:19:04 +0100,Person 58,2008/11/27 11:23:43 +0100
1078,Improvement,Closed,Fixed,C-1,Critical,Person 60,2008/11/11 23:34:27 +0100,2008/11/11 23:34:27 +0100,Person 60,2009/07/04 10:37:01 +0100
1088,Bug,Closed,Fixed,C-18,Major,Person 58,2008/11/14 08:15:27 +0100,2008/11/14 08:15:27 +0100,Person 58,2008/11/14 08:26:09 +0100
1090,Bug,Closed,Fixed,C-1,Major,Person 76,2008/11/14 16:28:52 +0100,2008/11/14 16:28:52 +0100,Person 76,2008/11/14 16:30:23 +0100
1091,Bug,Closed,Fixed,C-9,Major,Person 66,2008/11/14 17:54:13 +0100,2008/11/14 17:54:13 +0100,Person 66,2008/11/17 15:03:33 +0100
1093,Bug,Closed,Fixed,C-9,Major,Person 71,2008/11/15 12:01:11 +0100,2008/11/16 07:55:16 +0100,Person 71,2008/11/21 19:43:55 +0100
1103,Bug,Closed,Fixed,C-1,Major,Person 107,2008/11/19 17:13:45 +0100,2008/11/19 20:54:23 +0100,Person 82,2008/11/19 20:55:36 +0100
1105,Improvement,Closed,Fixed,,Major,Person 108,2008/11/20 08:22:31 +0100,2008/11/20 19:23:17 +0100,Person 71,2008/11/20 20:57:25 +0100
1107,Bug,Closed,Fixed,C-10,Major,Person 71,2008/11/21 11:23:50 +0100,2008/11/21 11:23:50 +0100,Person 71,2008/11/21 19:43:37 +0100
1108,Bug,Closed,Fixed,C-1,Major,Person 109,2008/11/21 21:33:13 +0100,2008/11/22 04:36:37 +0100,Person 58,2008/11/27 21:50:19 +0100
1122,Bug,Closed,Fixed,,Major,Person 82,2008/11/26 12:21:44 +0100,2008/11/26 12:21:44 +0100,Person 82,2008/11/26 14:05:24 +0100
1145,Bug,Closed,Fixed,C-18,Major,Person 71,2008/12/04 12:42:32 +0100,2008/12/04 12:42:32 +0100,Person 58,2008/12/05 11:05:28 +0100
