issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
1053,Improvement,Resolved,Fixed,W,Minor,Person 602,2007/10/08 23:42:41 +0100,2007/10/14 22:33:17 +0100,Person 529,2007/10/14 22:33:17 +0100
1057,Improvement,Resolved,Fixed,W,Major,Person 606,2007/10/10 01:54:10 +0100,null,Unassigned,2007/10/16 06:30:51 +0100
1067,Improvement,Resolved,Fixed,W,Minor,Person 607,2007/10/12 13:25:08 +0100,null,Unassigned,2007/10/14 08:55:17 +0100
1070,Improvement,Closed,Fixed,W-extensions,Trivial,Person 524,2007/10/13 13:04:44 +0100,2007/10/13 13:04:44 +0100,Person 524,2007/10/13 13:14:53 +0100
1086,Improvement,Resolved,Fixed,,Major,Person 606,2007/10/19 04:13:10 +0100,2007/10/29 04:39:54 +0100,Person 529,2007/10/29 04:39:54 +0100
1118,Bug,Resolved,Fixed,W-datetime,Major,Person 559,2007/10/31 15:36:39 +0100,2007/10/31 20:43:18 +0100,Person 529,2007/11/02 10:27:02 +0100
1120,Bug,Resolved,Fixed,W,Major,Person 608,2007/11/01 11:57:49 +0100,2007/11/14 11:20:07 +0100,Person 557,2008/09/19 00:27:57 +0100
1131,Bug,Closed,Fixed,W-extensions,Major,Person 584,2007/11/05 15:53:28 +0100,2007/11/14 14:06:51 +0100,Person 536,2007/11/14 14:06:51 +0100
1135,Bug,Resolved,Fixed,W-datetime,Trivial,Person 609,2007/11/06 18:32:50 +0100,2007/11/06 20:52:24 +0100,Unassigned,2007/11/07 20:58:36 +0100
1136,Improvement,Resolved,Fixed,W,Minor,Person 610,2007/11/07 15:58:24 +0100,null,Unassigned,2007/11/30 20:06:07 +0100
1148,Bug,Resolved,Fixed,W,Major,Person 596,2007/11/12 05:45:30 +0100,null,Unassigned,2007/11/13 00:49:20 +0100
1166,Improvement,Resolved,Fixed,W,Minor,Person 534,2007/11/19 21:13:04 +0100,2008/02/11 16:14:27 +0100,Person 529,2008/02/11 17:38:47 +0100
1171,Improvement,Resolved,Fixed,W,Minor,Person 534,2007/11/20 03:18:17 +0100,null,Unassigned,2007/11/20 06:20:48 +0100
